,,,,,,,,,,,,,,,
Supplier,Customer,Product name,THC,CBD,Cultivar,Grams Pack,Unit (g/mL/pack),Supplier Product Code,Local Code (PZN),Irradiation,RRP / UVP / g,Customer Price / g ,Bundle Deal Volume (minimum),Unit (g/mL/pack),Bundle Deal Price / g
Canadian Craft Cannabis Company GmbH,Pharmacy Berlin ,Spirit Bear STR 28/1,28%,1,Strawberry Meltshake,50,g,CC_001,74839202,Beta,13.00€,8.00€,2000,g,6.50€
Canadian Craft Cannabis Company GmbH,Pharmacy Berlin ,Spirit Bear STR 27/1,,1,Strawberry Meltshake,50,g,CC_001,74839202,Beta,13.00€,8.00€,2000,g,6.50€
Canadian Craft Cannabis Company GmbH,Pharmacy Berlin ,Spirit Bear STR 26/1,,1,Strawberry Meltshake,50,g,CC_001,74839202,Beta,13.00€,8.00€,2000,g,6.50€
Canadian Craft Cannabis Company GmbH,Pharmacy Berlin ,Product 4,,1,Strawberry Meltshake,50,g,CC_001,74839202,Beta,13.00€,8.00€,2000,g,6.50€
Canadian Craft Cannabis Company GmbH,Pharmacy Berlin ,Product 5,,1,Strawberry Meltshake,50,g,CC_001,74839202,Beta,13.00€,8.00€,2000,g,6.50€
Canadian Craft Cannabis Company GmbH,Pharmacy Berlin ,Product 6,,1,Strawberry Meltshake,50,g,CC_001,74839202,Beta,13.00€,8.00€,2000,g,6.50€
Canadian Craft Cannabis Company GmbH,Pharmacy Berlin ,Product 7,,1,Strawberry Meltshake,50,g,CC_001,74839202,Beta,13.00€,8.00€,2000,g,6.50€
Canadian Craft Cannabis Company GmbH,Pharmacy Berlin ,Product 8,,1,Strawberry Meltshake,50,g,CC_001,74839202,Beta,13.00€,8.00€,2000,g,6.50€
Canadian Craft Cannabis Company GmbH,Pharmacy Berlin ,Product 9,,1,Strawberry Meltshake,50,g,CC_001,74839202,Beta,13.00€,8.00€,2000,g,6.50€
Canadian Craft Cannabis Company GmbH,Pharmacy Berlin ,Product 10,,1,Strawberry Meltshake,50,g,CC_001,74839202,Beta,13.00€,8.00€,2000,g,6.50€
Canadian Craft Cannabis Company GmbH,Pharmacy Berlin ,Product 11,,1,Strawberry Meltshake,50,g,CC_001,74839202,Beta,13.00€,8.00€,2000,g,6.50€
Canadian Craft Cannabis Company GmbH,Pharmacy Berlin ,Product 12,,1,Strawberry Meltshake,50,g,CC_001,74839202,Beta,13.00€,8.00€,2000,g,6.50€
Canadian Craft Cannabis Company GmbH,Pharmacy Berlin ,Product 13,,1,Strawberry Meltshake,50,g,CC_001,74839202,Beta,13.00€,8.00€,2000,g,6.50€
Canadian Craft Cannabis Company GmbH,Pharmacy Berlin ,Product 14,,1,Strawberry Meltshake,50,g,CC_001,74839202,Beta,13.00€,8.00€,2000,g,6.50€
Canadian Craft Cannabis Company GmbH,Pharmacy Potsdam ,Spirit Bear STR 28/1,28%,1,Strawberry Meltshake,50,g,CC_001,74839202,Beta,13.00€,8.00€,2000,g,6.50€
Canadian Craft Cannabis Company GmbH,Pharmacy Potsdam ,Spirit Bear STR 27/1,,1,Strawberry Meltshake,50,g,CC_001,74839202,Beta,13.00€,8.00€,2000,g,6.50€
Canadian Craft Cannabis Company GmbH,Pharmacy Potsdam ,Spirit Bear STR 26/1,,1,Strawberry Meltshake,50,g,CC_001,74839202,Beta,13.00€,8.00€,2000,g,6.50€
Canadian Craft Cannabis Company GmbH,Pharmacy Potsdam ,Product 4,,1,Strawberry Meltshake,50,g,CC_001,74839202,Beta,13.00€,8.00€,2000,g,6.50€
Canadian Craft Cannabis Company GmbH,Pharmacy Potsdam ,Product 5,,1,Strawberry Meltshake,50,g,CC_001,74839202,Beta,13.00€,8.00€,2000,g,6.50€
Canadian Craft Cannabis Company GmbH,Pharmacy Potsdam ,Product 6,,1,Strawberry Meltshake,50,g,CC_001,74839202,Beta,13.00€,8.00€,2000,g,6.50€
Canadian Craft Cannabis Company GmbH,Pharmacy Potsdam ,Product 7,,1,Strawberry Meltshake,50,g,CC_001,74839202,Beta,13.00€,8.00€,2000,g,6.50€
Canadian Craft Cannabis Company GmbH,Pharmacy Potsdam ,Product 8,,1,Strawberry Meltshake,50,g,CC_001,74839202,Beta,13.00€,8.00€,2000,g,6.50€
Canadian Craft Cannabis Company GmbH,Pharmacy Potsdam ,Product 9,,1,Strawberry Meltshake,50,g,CC_001,74839202,Beta,13.00€,8.00€,2000,g,6.50€
Canadian Craft Cannabis Company GmbH,Pharmacy Potsdam ,Product 10,,1,Strawberry Meltshake,50,g,CC_001,74839202,Beta,13.00€,8.00€,2000,g,6.50€
Canadian Craft Cannabis Company GmbH,Pharmacy Potsdam ,Product 11,,1,Strawberry Meltshake,50,g,CC_001,74839202,Beta,13.00€,8.00€,2000,g,6.50€
Canadian Craft Cannabis Company GmbH,Pharmacy Potsdam ,Product 12,,1,Strawberry Meltshake,50,g,CC_001,74839202,Beta,13.00€,8.00€,2000,g,6.50€
Canadian Craft Cannabis Company GmbH,Pharmacy Potsdam ,Product 13,,1,Strawberry Meltshake,50,g,CC_001,74839202,Beta,13.00€,8.00€,2000,g,6.50€
Canadian Craft Cannabis Company GmbH,Pharmacy Potsdam ,Product 14,,1,Strawberry Meltshake,50,g,CC_001,74839202,Beta,13.00€,8.00€,2000,g,6.50€
