Product table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image,Supplier,Product name,THC,CBD,Cultivar,Grams Pack,Unit (g or mL),Supplier Product Code,Buyer Product Code,Local Code (PZN),Irradiation,RRP / UVP / g,Basic Price / g ,Price / g Bundle,Bundle,Cultivator,Country of origin,Region,Lineage 1 x,Lineage 2,Dominance,THC,CBD,CBG,CBN,Packaging material,Resealable,COGS,Visibility start,Visibility end,More columns should be able to be created flexibly per company
,Canadian Craft Cannabis Company GmbH,Spirit Bear STR 28/1,28%,1,Strawberry Meltshake,50,g,CC_001,PHA-BB1,74839202,Beta,"13,00€","8,00€","7,00€",8x50g,Master Grower BC,Canada,British Columbia,Strawberry Jelly,Strawberries & Cream,Indica-Dominant,31,<1,0.1,0.2,Mylar bag,Yes,Cost of goods sold,13-Aug.-2026,13-Sep-2026,"For additional cannabinoids, or other things"
,Canadian Craft Cannabis Company GmbH,Superseed GRP 27/1,27%,1%,Grape Cookies,50,g,CC_002,PHA-BB2,54672917,Beta,"11,00€","6,00€","5,00€",8x50g,Super Grower BC,Canada,British Columbia,GSC ,Grape Kush,,,,,,,,Needs to be super private,,,
,Canadian Craft Cannabis Company GmbH,Mystery Mountain TBM 8/10,8%,10%,The Big Mango,50,g,CC_003,PHA-BB3,37684992,Un-irradiated,"9,00€","5,00€","4,00€",8x50g,Super Grower BC,Canada,British Columbia,NYC Diesel,Harlequin,,,,,,,,Only for seller themselves,,,
,Canadian Craft Cannabis Company GmbH,Tofino Ripper ELC 20/1,20%,1%,Electric Lemon,50,g,CC_004,PHA-BB4,28765443,Un-irradiated,"7,00€","4,00€","3,00€",8x50g,Super Grower BC,Canada,British Columbia,G13,Northern Lights #5,,,,,,,,"This is the help to analyse ""my margin I make""",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aurora Deutschland GmbH,Pedanios 31/1 COS-CA,31,1,Cosmic Cream,1000,g,AUR-1A,PHA-BB5,38364843,Beta,"9,00€","8,00€",,,Aurora Inc,Canada,Toronto,Gasberry,Alien Cake,,,,,,,,,,,
,Aurora Deutschland GmbH,Pedanios 31/1 PND-CA,31,1,Pink Diesel,1000,g,AUR-1B,PHA-BB6,52839467,Beta,"8,50€","6,00€",,,Aurora Inc,Canada,Toronto,Pink Kush,Driftwood Diesel,,,,,,,,,,,
,Aurora Deutschland GmbH,San Raf 29/1 PNK,22,1,Pink OG Kush,1000,g,AUR-1C,PHA-BB7,38374774,Beta,"5,00€","4,00€",,,Pure Sunfarms,Canada,Montreal,Pink Kush,OG Kush,,,,,,,,,,,
,Aurora Deutschland GmbH,Pedanios 10/10 MBE-CA,10,10,Moon Berry,10,g,AUR-1D,PHA-BB8,38383838,Beta,"6,00€","5,00€",,,Aurora Inc,Canada,Toronto,Vespera,Equiposa,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
